RepairID;FailureCode;Description;Resolution;RepairDate;up__EquipmentID
402;F034;Light conductor malfunction on Weber slicer;Diagnosed and resolved light conductor issue.;2026-05-05;36655
403;F034;Scale belts stretched beyond tolerance;Replaced stretched scale belts (SAP 60157343).;2026-05-01;36655
404;F034;Buffer blue rollers worn;Replaced worn blue rollers as required (SAP 60157343, 60241316×16).;2026-04-30;36655
405;F034;CCU1 and CCU2 toothed belt damaged;Replaced damaged toothed belt on CCU1 and CCU2.;2026-04-29;36655
406;F034;uffer conveyor belts worn causing blue shavings;Replaced worn buffer conveyor belts (SAP 60157570).;2026-04-29;36655
501;F031;Guard 1 magnet mispositioned, not providing signal to sensor;"Adjusted guard 1 magnet on non-operator side to restore sensor signal; follow-up created.";2026-05-12;33250
502;F031;X-cut knife #3 misfiring intermittently;"Replaced knife pilot valve; tested and confirmed proper operation for remainder of shift.";2026-05-07;33250
503;F031;Canister missing seal;"Replaced canister seal with right-angle rubber seal (SAP 60246658, 2m).;2026-05-07;33250
504;F031;Cross cutter 3 not cutting — sheath bent preventing knife protrusion;"Straightened bent sheath to allow knife to protrude fully; verified cutting.";2026-05-06;33250
505;F031;Vacuum not reaching target level;"Tightened fittings on valve and set all booster pumps to manual; vacuum restored.";2026-05-02;33250
506;F031;Discharge belt slipping due to water ingress;Removed belt, dried area, reassembled and tested discharge belt.;2026-05-01;33250
507;F031;Dull blades and star grip knob short on cassette;Replaced 4 blades and star grip knob (SAP 60178480×1, 60131051×4).;2026-04-24;33250
508;F031;Cross cut blade worn, packages not fully separated;Replaced worn blade and adjusted stroke for complete cut-through.;2026-04-23;33250
